ID,Month,small_hydro_power,wind_power,bmpower_congen,wastetoenergy,solar_power
1,Jan-2019,4517.45,35138.15,9075.50,138.30,25212.26
2,Feb-2019,4528.05,35288.10,9075.50,138.30,26025.97
3,Mar-2019,4593.15,35625.97,9103.50,138.30,28180.71
4,Apr-2019,4593.15,35625.97,9103.50,138.30,28180.71
5,May-2019,4594.15,35815.88,9131.50,138.30,28679.21
6,Jun-2019,4604.80,36368.47,9131.50,138.30,29549.31
7,Jul-2019,4604.80,36686.82,9131.50,138.30,30071.38
8,Aug-2019,4608.81,36750.42,9131.50,139.80,30708.85
9,Sep-2019,4610.81,36930.32,9806.31,139.80,31101.71
10,Oct-2019,4647.11,37090.02,9806.31,139.80,31696.26
11,Nov-2019,4647.56,37278.68,9806.31,139.80,32527.55
12,Dec-2019,4647.56,37278.68,9806.31,139.80,32527.55
13,Jan-2020,4676.56,37607.70,9861.31,139.80,34035.66
14,Feb-2020,4683.16,37669.25,9861.31,139.80,34405.67
15,Mar-2020,4683.16,37693.75,9875.31,147.64,34627.82
16,Apr-2020,4683.16,37745.85,9880.31,147.64,34811.78
17,May-2020,4683.16,37756.35,9880.31,148.84,34915.36
18,Jun-2020,4688.16,37829.55,9880.31,148.84,35122.33
19,Jul-2020,4712.17,37940.95,9936.65,148.84,35303.30
20,Aug-2020,4739.97,37999.55,10145.92,168.64,35739.35
21,Sep-2020,4739.97,38124.15,10145.92,168.64,36050.74
22,Oct-2020,4740.47,38263.05,10145.92,168.64,36317.57
23,Nov-2020,4740.47,38433.55,10145.92,168.64,36910.53
24,Dec-2020,4750.46,38624.15,10145.92,168.64,37464.64
25,Jan-2021,4758.46,38683.65,10145.92,168.64,38794.07
26,Feb-2021,4783.06,38789.15,10145.92,168.64,39083.71
27,Mar-2021,4786.81,39247.05,10145.92,168.64,40085.37
28,Apr-2021,4786.81,39410.45,10145.92,168.64,40500.77
29,May-2021,4786.81,39442.25,10170.92,168.64,41087.63
30,Jun-2021,4793.81,39486.65,10170.92,168.64,42335.49
31,Jul-2021,4794.61,39588.85,10170.92,388.22,43940.12
32,Aug-2021,4807.81,39691.15,10170.61,401.84,45611.91
33,Sep-2021,4809.81,39870.45,10175.61,401.84,46275.14
34,Oct-2021,4821.81,39990.10,10175.61,401.84,47665.89
35,Nov-2021,4831.35,40033.60,10175.61,434.11,48556.64
36,Dec-2021,4839.40,40082.70,10175.61,434.11,49346.71
37,Jan-2022,4839.90,40100.93,10175.61,434.11,50303.58
