id,as_on,coal,gas,diesel,thermal_total,nuclear,hydro,res,grand_total
1,31.12.47,756,0,98,854,0,508,0,1362
2,31.12.50,1004,0,149,1153,0,560,0,1713
3,31.03.56 (End of 1st Plan),1597,0,228,1825,0,1061,0,2886
4,31.03.61 (End of 2nd Plan),2436,0,300,2736,0,1917,0,4653
5,31.03.66 (End of 3rd Plan),4417,134,352,4903,0,4124,0,9027
6,31.03.69 (End of 3 Annual Plans),6640,134,276,7050,0,5907,0,12957
7,31.03.74 (End of 4th Plan),8652,165,241,9058,640,6966,0,16664
8,31.03.79 (End of 5th Plan),14875,168,164,15207,640,10833,0,26680
9,31.03.80 (End of Annual Plan),15991,268,165,16424,640,11384,0,28448
10,31.03.85 (End of 6th Plan),26311,542,177,27030,1095,14460,0,42585
11,31.03.90 (End of 7th Plan),41237,2343,165,43745,1565,18308,18,63636
12,31.03.92 (End of 2 Annual Plans),44791,3095,168,48054,1785,19194,32,69065
13,31.03.97 (End of 8th Plan),54154,6562,294,61010,2225,21658,902,85795
14,31.03.02 (End of 9th Plan),62131,11163,1135,74429,2720,26269,1628,105046
15,31.03.07 (End of 10th Plan) ,71121,13692,1202,86015,3900,34654,7760,132329
16,31.03.12 (End of 11th Plan) ,112022,18381,1199.741,131602.741,4780,38990,24504,199876.741
17,31.03.17 (End of 12th Plan),192162.875,25329.38,837.629,218329.884,6780,44478.42,57244.23000000001,326832.534
18,31.03.2018,197171.5,24897.46,837.629,222906.589,6780,45293.42,69022.38500000001,344002.394
19,31.03.2019,200704.5,24937.22,637.63,226279.35,6780,45399.22,77641.63,356100.2
