Name,Country,Location,CapacityMWDC or MWAC (*),Annual Output(GWh),LandSize(km2),Year,location1,location2,start_latitude,start_longitude,end_latitude,end_longitude
Benban Solar Park,Egypt,24°27′21.6″N 32°44′20.4″E﻿ / ﻿24.456000°N 32.739000°E,1650,3800,37,2019.0,24°27′21.6″N 32°44′20.4″E﻿ , ﻿24.456000°N 32.739000°E,24°27′21.6″N,32°44′20.4″E﻿,﻿24.456000°N,32.739000°E
Mount Signal Solar,United States,32°40′24″N 115°38′23″W﻿ / ﻿32.67333°N 115.63972°W,794,1197,15.9,2020.0,32°40′24″N 115°38′23″W﻿ , ﻿32.67333°N 115.63972°W,32°40′24″N,115°38′23″W﻿,﻿32.67333°N,115.63972°W
Solar Star(I and II),United States,34°49′50″N 118°23′53″W﻿ / ﻿34.83056°N 118.39806°W,747,1664,13,2015.0,34°49′50″N 118°23′53″W﻿ , ﻿34.83056°N 118.39806°W,34°49′50″N,118°23′53″W﻿,﻿34.83056°N,118.39806°W
Desert Sunlight Solar Farm,United States,33°49′33″N 115°24′08″W﻿ / ﻿33.82583°N 115.40222°W,550*,1287,16,2015.0,33°49′33″N 115°24′08″W﻿ , ﻿33.82583°N 115.40222°W,33°49′33″N,115°24′08″W﻿,﻿33.82583°N,115.40222°W
Topaz Solar Farm,United States,35°23′N 120°4′W﻿ / ﻿35.383°N 120.067°W,550*,1268,19[76],2014.0,35°23′N 120°4′W﻿ , ﻿35.383°N 120.067°W,35°23′N,120°4′W﻿,﻿35.383°N,120.067°W
Springbok Solar Farm,United States,35°15′N 117°58′W﻿ / ﻿35.25°N 117.96°W,443,717,5.7,2019.0,35°15′N 117°58′W﻿ , ﻿35.25°N 117.96°W,35°15′N,117°58′W﻿,﻿35.25°N,117.96°W
Agua Caliente Solar Project,United States,32°57.2′N 113°29.4′W﻿ / ﻿32.9533°N 113.4900°W,410,740,9.7,2014.0,32°57.2′N 113°29.4′W﻿ , ﻿32.9533°N 113.4900°W,32°57.2′N,113°29.4′W﻿,﻿32.9533°N,113.4900°W
Ananthapuramu - II,India,14°58′49″N 78°02′45″E﻿ / ﻿14.98028°N 78.04583°E,400,[98],17,2019.0,14°58′49″N 78°02′45″E﻿ , ﻿14.98028°N 78.04583°E,14°58′49″N,78°02′45″E﻿,﻿14.98028°N,78.04583°E
Mesquite Solar project,United States,33°20′N 112°55′W﻿ / ﻿33.333°N 112.917°W,400*,1140,9.3,2016.0,33°20′N 112°55′W﻿ , ﻿33.333°N 112.917°W,33°20′N,112°55′W﻿,﻿33.333°N,112.917°W
Cestas Solar Park,France,44°43′32″N 0°49′1″W﻿ / ﻿44.72556°N 0.81694°W,300,380,2.5,2015.0,44°43′32″N 0°49′1″W﻿ , ﻿44.72556°N 0.81694°W,44°43′32″N,0°49′1″W﻿,﻿44.72556°N,0.81694°W
Garland Solar Facility,United States,34°49′31″N 118°31′30″W﻿ / ﻿34.82528°N 118.52500°W,272,547,8.1,2016.0,34°49′31″N 118°31′30″W﻿ , ﻿34.82528°N 118.52500°W,34°49′31″N,118°31′30″W﻿,﻿34.82528°N,118.52500°W
Tranquillity Solar project,United States,36°37′2″N 120°23′16″W﻿ / ﻿36.61722°N 120.38778°W,258,455,7.7,2016.0,36°37′2″N 120°23′16″W﻿ , ﻿36.61722°N 120.38778°W,36°37′2″N,120°23′16″W﻿,﻿36.61722°N,120.38778°W
McCoy Solar Energy Project,United States,33°43′00″N 114°45′00″W﻿ / ﻿33.71667°N 114.75000°W,250*,745,9.3,2016.0,33°43′00″N 114°45′00″W﻿ , ﻿33.71667°N 114.75000°W,33°43′00″N,114°45′00″W﻿,﻿33.71667°N,114.75000°W
Silver State South Solar Project,United States,35°38′N 115°21′W﻿ / ﻿35.633°N 115.350°W,250*,711,11.7,2016.0,35°38′N 115°21′W﻿ , ﻿35.633°N 115.350°W,35°38′N,115°21′W﻿,﻿35.633°N,115.350°W
California Valley Solar Ranch,United States,35°20′N 119°55′W﻿ / ﻿35.333°N 119.917°W,250*,675,7.96,2013.0,35°20′N 119°55′W﻿ , ﻿35.333°N 119.917°W,35°20′N,119°55′W﻿,﻿35.333°N,119.917°W
Stateline Solar,United States,35°35′08″N 115°26′09″W﻿ / ﻿35.58556°N 115.43583°W,250*,658,6.82,2016.0,35°35′08″N 115°26′09″W﻿ , ﻿35.58556°N 115.43583°W,35°35′08″N,115°26′09″W﻿,﻿35.58556°N,115.43583°W
Moapa Southern Paiute,United States,36°31′N 114°45′W﻿ / ﻿36.517°N 114.750°W,250*,629,8.1,2016.0,36°31′N 114°45′W﻿ , ﻿36.517°N 114.750°W,36°31′N,114°45′W﻿,﻿36.517°N,114.750°W
Westlands Solar Park,United States,36°10′N 119°56′W﻿ / ﻿36.167°N 119.933°W,250*,629,8.1,2021.0,36°10′N 119°56′W﻿ , ﻿36.167°N 119.933°W,36°10′N,119°56′W﻿,﻿36.167°N,119.933°W
